rsi_threshold,vol_mult,trailing_stop_pct,take_profit_pct,portfolio_return_pct,portfolio_sharpe,max_drawdown_pct,total_trades,beats_spy,per_stock
45,1.2,4.0,15.0,0.9607284534098448,1.8138461026083186,-16.857878197749915,22,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.10707875893940066), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.09224078430945781)}"
45,1.2,4.0,20.0,2.4797549586278222,2.4502679041805018,-16.857878197749915,21,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.08041067593004603), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(0.010378623960795696)}"
45,1.2,6.0,12.0,-0.1359583555154309,0.4784352221821971,-19.956849923639755,23,False,"{'R': np.float64(0.09348222895428004), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.0933938127993088), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.15005095911687594)}"
45,1.2,6.0,15.0,-0.19547504273851765,1.450488250732969,-19.956849923639755,22,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.10707875893940066), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.15005095911687594)}"
45,1.2,6.0,20.0,1.7265543618123491,2.234466437286822,-19.956849923639755,21,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.08041067593004603), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.02728140587997796)}"
45,1.2,8.0,12.0,-2.9091859822729926,-0.2182503800200255,-33.510086078159816,23,False,"{'R': np.float64(0.09348222895428004), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.0933938127993088), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.288712340454754)}"
45,1.2,8.0,15.0,-2.9687026694960794,0.7538026485307465,-33.510086078159816,22,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.10707875893940066), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.288712340454754)}"
45,1.2,8.0,20.0,-1.567540087350261,1.422743481154042,-33.510086078159816,21,False,"{'R': np.float64(0.07682144845303385), 'GWW': np.float64(-0.024837711236071147), 'BEN': np.float64(0.08041067593004603), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.19198612833810846)}"
45,1.5,4.0,12.0,0.14540909274417757,-5.08480444521999,-6.174336740313572,14,False,"{'R': np.float64(0.07627144533051777), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.08815134603406616), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.06013185523440778)}"
45,1.5,4.0,15.0,0.2816659052611925,-6.25652534260243,-6.174336740313572,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.11888223022758893), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.06013185523440778)}"
